Designator,Value,Package,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Notes,StockStatus
C_BOOT,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,AP63300 bootstrap (between pins 6 BST and 1 SW),UNCHECKED
C_BUCK_IN,22uF 25V X5R,1210,1,CS3225X5R226K250NRL,Samwha,LCSC,C2918488,Buck input on 5V_LOGIC,UNCHECKED
C_BUCK_OUT_1,22uF 25V X5R,0805,1,CL21A226MAQNNNE,Samsung,LCSC,C45783,Buck output cap 1,UNCHECKED
C_BUCK_OUT_2,22uF 25V X5R,0805,1,CL21A226MAQNNNE,Samsung,LCSC,C45783,Buck output cap 2 total >=44uF,UNCHECKED
C_BULK_INPUT,470uF 10V Al polymer,SMD 8x10.2,1,EEH-ZA1V471P,Panasonic,LCSC,C526537,JACK_5V bulk low-ESR,UNCHECKED
C_BULK_5V_RAIL,220uF 10V Al polymer,SMD 8x7,1,EEH-ZA1V221P,Panasonic,LCSC,C526535,5V_RAIL bulk low-ESR,UNCHECKED
C_BULK_5V_CER,47uF 10V X5R,1210,1,CL32A476KPJNNNE,Samsung,LCSC,C114769,5V_RAIL bulk ceramic,UNCHECKED
C_BULK_5V_HF,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,5V_RAIL HF decoupling,UNCHECKED
C_USB_IN,10uF 25V X7R,0805,1,CL21B106KOQNNNE,Samsung,LCSC,C15850,USB_5V_IN bulk,UNCHECKED
C_JACK_IN,10uF 25V X7R,0805,1,CL21B106KOQNNNE,Samsung,LCSC,C15850,JACK_5V bulk,UNCHECKED
C_LOGIC_IN,10uF 25V X7R,0805,1,CL21B106KOQNNNE,Samsung,LCSC,C15850,5V_LOGIC decoupling,UNCHECKED
C_SH1,10nF X7R 25V,0603,1,CL10B103KB8NNNC,Samsung,LCSC,C1588,USB shield HF path,UNCHECKED
C_ESP_BULK,22uF 25V X5R,0805,1,CL21A226MAQNNNE,Samsung,LCSC,C45783,ESP32-S3 3V3 bulk within 10mm,UNCHECKED
C_ESP_EN,1uF 25V X5R,0603,1,CL10A105KO8NNNC,Samsung,LCSC,C15849,S3 EN debounce,UNCHECKED
C_ESP_DEC1a,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,ESP32-S3 VDD group 1 HF,UNCHECKED
C_ESP_DEC1b,1uF 25V X5R,0603,1,CL10A105KO8NNNC,Samsung,LCSC,C15849,ESP32-S3 VDD group 1 local bulk,UNCHECKED
C_ESP_DEC2a,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,ESP32-S3 VDD group 2 HF,UNCHECKED
C_ESP_DEC2b,1uF 25V X5R,0603,1,CL10A105KO8NNNC,Samsung,LCSC,C15849,ESP32-S3 VDD group 2 local bulk,UNCHECKED
C_ESP_DEC3a,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,ESP32-S3 VDD group 3 HF,UNCHECKED
C_ESP_DEC3b,1uF 25V X5R,0603,1,CL10A105KO8NNNC,Samsung,LCSC,C15849,ESP32-S3 VDD group 3 local bulk,UNCHECKED
C_H2_BULK,10uF 10V X5R,0805,1,CL21A106KQFNNNE,Samsung,LCSC,C49678,ESP32-H2 3V3 bulk within 10mm,UNCHECKED
C_H2_EN,1uF 25V X5R,0603,1,CL10A105KO8NNNC,Samsung,LCSC,C15849,H2 EN debounce,UNCHECKED
C_H2_DEC1a,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,ESP32-H2 VDD HF local 1,UNCHECKED
C_H2_DEC1b,1uF 25V X5R,0603,1,CL10A105KO8NNNC,Samsung,LCSC,C15849,ESP32-H2 VDD local bulk 1,UNCHECKED
C_H2_DEC2a,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,ESP32-H2 VDD HF local 2,UNCHECKED
C_H2_DEC2b,1uF 25V X5R,0603,1,CL10A105KO8NNNC,Samsung,LCSC,C15849,ESP32-H2 VDD local bulk 2,UNCHECKED
C_H2_DEC3a,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,ESP32-H2 VDD HF local 3,UNCHECKED
C_MUX_DEC,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,TCA9548A decoupling,UNCHECKED
C_ROW1,47uF 10V X5R,1210,1,CL32A476KPJNNNE,Samsung,LCSC,C114769,Row 1 5V bulk,UNCHECKED
C_ROW2,47uF 10V X5R,1210,1,CL32A476KPJNNNE,Samsung,LCSC,C114769,Row 2,UNCHECKED
C_ROW3,47uF 10V X5R,1210,1,CL32A476KPJNNNE,Samsung,LCSC,C114769,Row 3,UNCHECKED
C_ROW4,47uF 10V X5R,1210,1,CL32A476KPJNNNE,Samsung,LCSC,C114769,Row 4,UNCHECKED
C_ROW5,47uF 10V X5R,1210,1,CL32A476KPJNNNE,Samsung,LCSC,C114769,Row 5,UNCHECKED
C_ROW6,47uF 10V X5R,1210,1,CL32A476KPJNNNE,Samsung,LCSC,C114769,Row 6,UNCHECKED
C_ROW7,47uF 10V X5R,1210,1,CL32A476KPJNNNE,Samsung,LCSC,C114769,Row 7,UNCHECKED
C_ROW8,47uF 10V X5R,1210,1,CL32A476KPJNNNE,Samsung,LCSC,C114769,Row 8,UNCHECKED
C_ROW1_HF,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,Row 1 5V HF decoupling,UNCHECKED
C_ROW2_HF,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,Row 2,UNCHECKED
C_ROW3_HF,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,Row 3,UNCHECKED
C_ROW4_HF,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,Row 4,UNCHECKED
C_ROW5_HF,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,Row 5,UNCHECKED
C_ROW6_HF,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,Row 6,UNCHECKED
C_ROW7_HF,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,Row 7,UNCHECKED
C_ROW8_HF,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,Row 8,UNCHECKED
